
case_id,activity,timestamp,resource,cost,duration,customer_type,channel,product_id,payment_method,status
C-1001,Checkout Cart,2025-02-15T09:14:22,john.doe,10,2m 15s,regular,web,P-123,unknown,started
C-1001,Process Credit Card,2025-02-15T09:16:45,system,5,1m 53s,regular,web,P-123,credit_card,processing
C-1001,Handle Payment Error,2025-02-15T09:18:40,system,2,0m 2s,regular,web,P-123,credit_card,error
C-1001,Checkout Cart,2025-02-15T09:20:15,john.doe,10,1m 45s,regular,web,P-123,unknown,restarted
C-1001,Process Bank Transfer,2025-02-15T09:22:05,john.doe,8,3m 10s,regular,web,P-123,bank_transfer,processing
C-1001,Confirm Order,2025-02-15T09:25:20,system,3,0m 45s,regular,web,P-123,bank_transfer,completed
C-1002,Checkout Cart,2025-02-15T10:30:10,jane.smith,10,1m 50s,premium,mobile,P-456,unknown,started
C-1002,Process Credit Card,2025-02-15T10:32:05,system,5,4m 35s,premium,mobile,P-456,credit_card,processing
C-1002,Confirm Order,2025-02-15T10:36:45,system,3,0m 30s,premium,mobile,P-456,credit_card,completed
C-1003,Checkout Cart,2025-02-15T11:45:15,robert.jones,10,2m 5s,regular,web,P-789,unknown,started
C-1003,Process Bank Transfer,2025-02-15T11:47:25,robert.jones,8,2m 45s,regular,web,P-789,bank_transfer,processing
C-1003,Confirm Order,2025-02-15T11:50:15,system,3,0m 50s,regular,web,P-789,bank_transfer,completed
C-1004,Checkout Cart,2025-02-15T13:10:05,sarah.williams,10,1m 55s,premium,tablet,P-234,unknown,started
C-1004,Process Credit Card,2025-02-15T13:12:05,system,5,3m 15s,premium,tablet,P-234,credit_card,processing
C-1004,Handle Payment Error,2025-02-15T13:15:25,system,2,0m 5s,premium,tablet,P-234,credit_card,error
C-1004,Checkout Cart,2025-02-15T13:17:30,sarah.williams,10,1m 40s,premium,tablet,P-234,unknown,restarted
C-1004,Process Credit Card,2025-02-15T13:19:15,system,5,2m 30s,premium,tablet,P-234,credit_card,processing
C-1004,Confirm Order,2025-02-15T13:21:50,system,3,0m 40s,premium,tablet,P-234,credit_card,completed
C-1005,Checkout Cart,2025-02-15T15:05:20,michael.brown,10,2m 25s,regular,mobile,P-567,unknown,started
C-1005,Process Bank Transfer,2025-02-15T15:07:50,michael.brown,8,4m 10s,regular,mobile,P-567,bank_transfer,processing
C-1005,Confirm Order,2025-02-15T15:12:05,system,3,0m 35s,regular,mobile,P-567,bank_transfer,completed
C-1006,Checkout Cart,2025-02-15T16:30:10,emily.davis,10,2m 10s,premium,web,P-890,unknown,started
C-1006,Process Credit Card,2025-02-15T16:32:25,system,5,2m 45s,premium,web,P-890,credit_card,processing
C-1006,Confirm Order,2025-02-15T16:35:15,system,3,0m 55s,premium,web,P-890,credit_card,completed
C-1007,Checkout Cart,2025-02-15T17:45:20,alex.wilson,10,1m 50s,regular,mobile,P-123,unknown,started
C-1007,Process Bank Transfer,2025-02-15T17:47:15,alex.wilson,8,3m 30s,regular,mobile,P-123,bank_transfer,processing
C-1007,Confirm Order,2025-02-15T17:50:50,system,3,0m 45s,regular,mobile,P-123,bank_transfer,completed
C-1008,Checkout Cart,2025-02-15T18:15:05,olivia.thomas,10,2m 20s,premium,tablet,P-456,unknown,started
C-1008,Process Credit Card,2025-02-15T18:17:30,system,5,3m 45s,premium,tablet,P-456,credit_card,processing
C-1008,Handle Payment Error,2025-02-15T18:21:20,system,2,0m 10s,premium,tablet,P-456,credit_card,error
C-1008,Process Bank Transfer,2025-02-15T18:22:35,olivia.thomas,8,2m 55s,premium,tablet,P-456,bank_transfer,processing
C-1008,Confirm Order,2025-02-15T18:25:35,system,3,0m 40s,premium,tablet,P-456,bank_transfer,completed
C-1009,Checkout Cart,2025-02-15T19:30:25,james.johnson,10,1m 45s,regular,web,P-789,unknown,started
C-1009,Process Credit Card,2025-02-15T19:32:15,system,5,2m 20s,regular,web,P-789,credit_card,processing
C-1009,Confirm Order,2025-02-15T19:34:40,system,3,0m 50s,regular,web,P-789,credit_card,completed
C-1010,Checkout Cart,2025-02-15T20:45:10,sophia.martin,10,2m 5s,premium,mobile,P-234,unknown,started
C-1010,Process Bank Transfer,2025-02-15T20:47:20,sophia.martin,8,3m 50s,premium,mobile,P-234,bank_transfer,processing
C-1010,Handle Payment Error,2025-02-15T20:51:15,system,2,0m 5s,premium,mobile,P-234,bank_transfer,error
C-1010,Process Credit Card,2025-02-15T20:52:25,sophia.martin,5,2m 35s,premium,mobile,P-234,credit_card,processing
C-1010,Confirm Order,2025-02-15T20:55:05,system,3,0m 35s,premium,mobile,P-234,credit_card,completed
